doi,date,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_views,version_unique_views
10.5281/zenodo.7586915,2024-12-16,640,405,847,784,154,92,250,228
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.53212,2024-12-16,181,135,211,208,181,135,211,208
10.5281/zenodo.1129429,2024-12-16,157,101,161,158,157,101,156,153
10.5281/zenodo.259354,2024-12-16,763,447,215,207,763,447,215,207
10.5281/zenodo.1402441,2024-12-16,251,131,289,284,251,131,289,284
10.5281/zenodo.6943086,2024-12-16,887,633,211,196,887,633,209,194
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.8360345,2024-12-16,80,60,93,71,67,49,59,56
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.1487895,2024-12-16,739,440,213,197,739,440,213,197
10.5281/zenodo.4071264,2024-12-16,142,84,236,222,142,84,233,219
10.5281/zenodo.887398,2024-12-16,195,145,253,250,195,145,253,250
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.4005515,2024-12-16,198,109,192,169,198,109,192,169
10.5281/zenodo.1293905,2024-12-16,133,88,223,217,133,88,223,217
10.5281/zenodo.3474863,2024-12-16,243,115,382,331,243,115,381,330
10.5281/zenodo.16287,2024-12-16,279,153,255,251,279,153,255,251
10.5281/zenodo.1118682,2024-12-16,681,178,176,166,681,178,176,166
10.5281/zenodo.1129441,2024-12-16,216,138,222,220,216,138,220,218
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.3864993,2024-12-16,122,96,460,454,79,62,237,233
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.159434,2024-12-16,94,71,210,205,94,71,209,204
10.5281/zenodo.1230170,2024-12-16,183,99,197,184,183,99,197,184
10.5281/zenodo.1488094,2024-12-16,1503,700,411,392,1503,700,410,391
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.8370440,2024-12-16,109,69,37,35,86,66,30,29
10.5281/zenodo.14067,2024-12-16,135,102,348,339,135,102,348,339
10.5281/zenodo.6943086,2024-12-16,887,633,211,196,887,633,209,194
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.13287,2024-12-16,304,243,313,304,304,243,313,304
10.5281/zenodo.32144,2024-12-16,345,247,276,270,345,247,276,270
10.5281/zenodo.2577454,2024-12-16,70,52,69,63,70,52,69,63
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.1020689,2024-12-16,270,153,309,304,270,153,309,304
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.1293941,2024-12-16,171,130,177,171,171,130,177,171
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.3332778,2024-12-16,901,379,518,486,777,313,336,310
10.5281/zenodo.34488,2024-12-16,94,80,414,408,94,80,412,406
10.5281/zenodo.3434100,2024-12-16,500,153,294,284,500,153,293,283
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.495247,2024-12-16,74,51,139,139,74,51,139,139
10.5281/zenodo.1288297,2024-12-16,413,210,328,303,413,210,328,303
10.5281/zenodo.1488102,2024-12-16,439,253,208,190,439,253,208,190
10.5281/zenodo.3613573,2024-12-16,1666,610,447,395,1018,416,310,260
10.5281/zenodo.3613573,2024-12-16,1666,610,447,395,1018,416,310,260
10.5281/zenodo.1487895,2024-12-16,739,440,213,197,739,440,213,197
10.5281/zenodo.439066,2024-12-16,775,400,274,258,775,400,272,256
10.5281/zenodo.3539263,2024-12-16,594,341,233,223,594,341,232,222
10.5281/zenodo.53151,2024-12-16,274,160,262,245,274,160,261,244
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.1488094,2024-12-16,1503,700,411,392,1503,700,410,391
10.5281/zenodo.259354,2024-12-16,763,447,215,207,763,447,215,207
10.5281/zenodo.16294,2024-12-16,127,97,203,200,127,97,202,199
10.5281/zenodo.1488094,2024-12-16,1503,700,411,392,1503,700,410,391
10.5281/zenodo.17237,2024-12-16,396,334,269,262,396,334,268,261
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.3950029,2024-12-16,653,374,342,315,653,374,342,315
10.5281/zenodo.1020623,2024-12-16,231,131,208,205,231,131,208,205
10.5281/zenodo.1487906,2024-12-16,286,153,269,255,286,153,266,252
